CREATEDATE,RVR1M,RVR_1A,RVR1X,RVR_10M,RVR_10A,RVR_10X,MOR_1A,MOR_10M,MOR_10A,MOR_10X,VIS1K,VIS1A,VIS10A,BL1A,RVR DATA,MOR_RAW,VIS_RAW,LIGHTS,STATUS,PAINS (HPA),QNH AERODROME (HPA),QFE R06 (HPA),QFE R24 (HPA),QFF AERODROME (HPA),TREND,TENDENCY,TEMP (掳C),RH (%),DEWPOINT (掳C),WSINS (MPS),WS2M (MPS),WS2A (MPS),WS2X (MPS),WS10M (MPS),WS10A (MPS),WS10X (MPS),WDINS,WD2M,WD2A,WD2X,WD10M,WD10A,WD10X,GUST_SPEED (MPS),GUST_DIR,WDVAR,CW2A (MPS),HW2A (MPS),HIGHWIND
2020-3-12 0:16,3000,3000,3000,3000,3000,3000,3125,3000,3100,3200,1198.5,3125,3100,5790,3171.75,3172,3172,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.3,3,10.6,80,7.32,2.475,1.6,2.3775,2.8,1.6,2.535,3.2,89.75,73,86,100,67,82.75,100,3.2,75,0,1.1175,2.0975,0
2020-3-12 0:17,3000,3000,3000,3000,3000,3000,3100,3000,3100,3200,1192.5,3100,3100,5831.25,3140.75,3141.75,3141.75,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.3,3,10.7,81,7.6,2.6750000000000003,1.725,2.4975,2.875,1.6,2.5175,3.2,89.25,81.75,90.5,98,67,83.75,100,3.2,75,0,1.345,2.11,0
2020-3-12 0:18,3000,3000,3000,3000,3000,3000,3150,3075,3100,3250,1208.75,3150,3100,5866.75,3273.25,3274,3274,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.3,3,10.7,80,7.42,2.525,2,2.5625,2.9,1.6,2.5275,3.2,90.5,82.5,90.5,95.75,67,84,100,3.2,75,0,1.375,2.16,0
2020-3-12 0:19,3000,3000,3000,3000,3000,3000,3200,3100,3200,3300,1203.75,3200,3200,5872,3251.25,3251.75,3251.75,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.3,3,10.7,80,7.42,2.9,2.3,2.6500000000000004,3.1,1.6,2.5425,3.225,88.25,82,89.5,98,67,85,100,3.225,80.75,0,1.385,2.26,0
2020-3-12 0:20,3000,3000,3000,3000,3000,3000,3200,3100,3200,3300,1211.25,3200,3200,5855.5,3290.5,3291,3291,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.3,3,10.8,80,7.51,2.825,2.3,2.8325,3.3,1.6,2.5725,3.3,83.25,79.5,88,97.75,67,85.25,100,3.3,88,0,1.415,2.4525,0
2020-3-12 0:21,3000,3000,3000,3000,3000,3000,3250,3100,3200,3300,1209.75,3250,3200,5841.25,3276.25,3276.75,3276.75,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.3,3,10.9,80,7.61,2.7,2.4,2.855,3.275,1.6,2.5925000000000002,3.3,83.25,72,84.25,93,70,86,100,3.3,88,0,1.2625,2.56,0
2020-3-12 0:22,3000,3000,3000,3000,3000,3000,3200,3100,3200,3300,1201,3200,3200,5835.75,3205,3205.75,3205.75,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.3,3,10.9,79,7.43,2.8,2.4,2.7824999999999998,3.2,1.6,2.635,3.3,82.25,71,81.5,93,71,86,100,3.3,88,0,1.1099999999999999,2.5525,0
2020-3-12 0:23,3000,3000,3000,3000,3000,3000,3200,3100,3200,3300,1208,3200,3200,5844,3254,3254.25,3254.25,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.3,3,11.1,81,7.99,3.05,2.425,2.9125,3.3,1.6,2.6725000000000003,3.3499999999999996,74.75,70.75,80,88.5,70.25,85.5,100,3.3499999999999996,81.5,0,1.0875000000000001,2.7,0
2020-3-12 0:24,3000,3000,3000,3000,3000,3000,3200,3100,3200,3300,1206.5,3200,3200,5858.25,3251.25,3251.5,3251.5,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.3,3,11.2,81,8.09,2.775,2.45,2.97,3.4,1.6,2.705,3.4,79,68,77.5,87,68,84.75,100,3.4,75,0,0.99,2.8,0
2020-3-12 0:25,3000,3000,3000,3000,3000,3000,3200,3100,3200,3300,1208.5,3200,3200,5875.25,3277,3277.25,3277.25,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.1,3,11.2,79,7.72,2.6,2.25,2.8475,3.3,1.725,2.7525,3.4,77.75,68,76.25,86,68,84,99,3.4,75,0,0.89,2.705,0
2020-3-12 0:26,3000,3000,3000,3000,3000,3000,3200,3100,3200,3300,1207.75,3200,3200,5891.75,3281.25,3282,3282,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.1,3,11.3,78,7.63,2.1999999999999997,2.05,2.5524999999999998,3.2,1.975,2.7375,3.4,78.5,71.75,78,85.25,68,83,98,3.4,75,0,0.87,2.3975,0
2020-3-12 0:27,3000,3000,3000,3000,3000,3000,3200,3125,3200,3300,1203,3200,3200,5916.5,3257.25,3258,3258,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.1,3,11.2,78,7.54,2.75,1.9,2.4,3.025,1.9,2.7325,3.4,78.25,70.25,78.5,85.75,68,81.75,98,3.4,75,0,0.8425,2.2475,0
2020-3-12 0:28,3000,3000,3000,3000,3000,3000,3200,3200,3200,3300,1206.5,3200,3200,5930.75,3289.25,3289.75,3289.75,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.1,3,11.2,76,7.16,2.5,1.9249999999999998,2.5725,3.1,1.9,2.74,3.4,80.5,68.25,77.75,86.25,68,80.5,97.75,3.4,75,0,0.8674999999999999,2.42,0
2020-3-12 0:29,3000,3000,3000,3000,3000,3000,3300,3200,3200,3300,1216.25,3300,3200,5936.5,3361.25,3361.5,3361.5,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.1,3,11.5,79,8.01,2.3499999999999996,1.8,2.4925,3.1,1.8,2.7025,3.4,83.25,68,81.75,101,68,80,101,3.4,75,0,1.0025,2.2800000000000002,0
2020-3-12 0:30,3000,3000,3000,3000,3000,3000,3350,3200,3200,3375,1223.5,3350,3200,5955.75,3434,3434.5,3434.5,100,0,1017,1018.54,1016.98,1017.15,1018.57,0.1,3,11.5,78,7.83,2.525,1.8,2.5124999999999997,3.2,1.8,2.6775,3.4,65,61.25,80.75,101,61.25,79,101,3.4,75,0,0.9725,2.32,0
2020-3-12 0:31,3000,3000,3000,3000,3000,3000,3475,3200,3275,3500,1234.75,3475,3275,5988.25,3524,3524.5,3524.5,100,0,1017,1018.54,1016.98,1017.15,1018.56,0.1,3,11.5,74,7.06,2.1,1.65,2.4275,3.2,1.65,2.615,3.4,74.5,53,71.25,100.5,53,77.75,101,3.4,75,0,0.5575,2.3625,0
2020-3-12 0:32,3000,3000,3000,3000,3000,3000,3425,3200,3300,3500,1225,3425,3300,6075.5,3496.75,3497.25,3497.25,100,0,1017,1018.54,1016.98,1017.15,1018.56,0.1,3,11.4,73,6.77,2.5,1.6,2.29,3.2,1.6,2.58,3.4,73.25,53.75,71,101,53,77,101,3.4,75,0,0.515,2.23,0
2020-3-12 0:33,3000,3000,3000,3000,3000,3000,3550,3200,3300,3600,1233,3550,3300,6217,3631.25,3632,3632,100,0,1017,1018.54,1016.98,1017.15,1018.56,0.1,3,11.5,74,7.06,1.65,1.4,2.32,3.2,1.4,2.4975,3.3,79,65,74.25,94.75,53,76.25,101,3.3,78,0,0.65,2.23,0
2020-3-12 0:34,3000,3000,3000,3000,3000,3000,3550,3200,3350,3600,1219.5,3550,3350,6244,3550,3550.75,3550.75,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.1,3,11.5,74,7.06,2,1.4,2.0625,2.675,1.4,2.3975,3.2,87.75,65.5,79.5,105.5,53,77.5,107,3.2,81,0.5,0.755,1.9175,0
2020-3-12 0:35,3000,3000,3000,3000,3000,3000,3425,3200,3400,3600,1214.25,3425,3400,6195.5,3489.75,3490,3490,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.2,3,11.6,74,7.16,2.55,1.4,2.075,2.8000000000000003,1.4,2.3425000000000002,3.2,92.25,70,88.75,113,53,79,113,3.2,81,1,1.0625,1.7825,0
2020-3-12 0:36,3000,3000,3000,3000,3000,3000,3500,3200,3400,3600,1222.25,3500,3400,6117.25,3503,3503.5,3503.5,100,0,1017.1,1018.64,1017.08,1017.25,1018.67,0.2,3,11.8,75,7.55,3.225,1.5499999999999998,2.56,3.5,1.4,2.4,3.5,84.25,74,86.75,107.5,53,79.25,113,3.5,81.25,1,1.2275,2.2475,0
2020-3-12 0:37,3000,3000,3000,3000,3000,3000,3400,3200,3400,3600,1218.75,3400,3400,6101,3466.5,3467,3467,100,0,1017,1018.54,1016.98,1017.15,1018.56,0.2,3,12,77,8.13,2.3,1.85,2.8725,3.6,1.4,2.4375,3.6,85.5,74.75,82.5,93.25,53,79.5,113,3.6,80,1,1.1925,2.6149999999999998,0
2020-3-12 0:38,3000,3000,3000,3000,3000,3000,3450,3250,3400,3600,1222.25,3450,3400,6106.25,3500.75,3501.25,3501.25,100,0,1017,1018.54,1016.98,1017.15,1018.56,0.2,3,12,74,7.55,1.25,1.1,2.2275,3.35,1.1,2.33,3.6,86.75,75,84.75,100.75,53,80.75,113,3.6,80,1,1,1.99,0
2020-3-12 0:39,3000,3000,3000,3000,3000,3000,3400,3300,3475,3600,1215.25,3400,3475,6114.5,3439.75,3440,3440,100,0,1017,1018.54,1016.98,1017.15,1018.56,0.2,3,11.8,72,6.95,2.4,1.1,1.795,2.7750000000000004,1.1,2.3,3.6,93.25,75,90.75,120,53,81.25,120,3.6,80,1,0.97,1.5075,0
2020-3-12 0:40,3000,3000,3000,3000,3000,3000,3400,3400,3500,3600,1217,3400,3500,6111.25,3447.25,3448,3448,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.2,3,11.9,73,7.25,1.525,1.2000000000000002,2.0175,2.7,1.1,2.2325,3.6,90.75,78.25,93.5,120,53.75,83,120,3.6,80,1,1.17,1.6425,0
2020-3-12 0:41,3000,3000,3000,3000,3000,3000,3400,3400,3500,3600,1219,3400,3500,6108.25,3476.25,3476.75,3476.75,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.2,3,12,74,7.55,2.1,1.3,1.915,2.6500000000000004,1.1,2.1950000000000003,3.6,88,77,90.75,114,65,85.25,120,3.6,80,0,1.0375,1.6075,0
2020-3-12 0:42,3000,3000,3000,3000,3000,3000,3400,3350,3400,3600,1211.25,3400,3400,6113.25,3414,3414.5,3414.5,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.2,3,11.9,72,7.05,1.35,1.225,1.755,2.5,1.1,2.125,3.6,95.5,78.5,89.5,114,65.5,86.75,120,3.6,80,0,0.9175,1.4975,0
2020-3-12 0:43,3000,3000,3000,3000,3000,3000,3350,3300,3400,3600,1209.25,3350,3400,6119.5,3404,3404,3404,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.2,3,12,72,7.15,1.65,1.1,1.615,2.25,1.1,2.0549999999999997,3.6,85.25,73.5,91,115,67,89,120,3.6,80,0,0.88,1.3525,0
2020-3-12 0:44,3000,3000,3000,3000,3000,3000,3400,3300,3400,3500,1216,3400,3400,6125.75,3458.25,3458.75,3458.75,100,0,1017.2,1018.74,1017.18,1017.35,1018.76,0.2,3,12,73,7.35,1.725,1,1.5,2.25,1,2.0124999999999997,3.6,77.5,61.25,87,115,61.25,88.25,120,3.6,80,0.75,0.725,1.315,0
2020-3-12 0:45,3000,3000,3000,3000,3000,3000,3400,3300,3400,3500,1213,3400,3400,6139.75,3435.75,3436.25,3436.25,100,0,1017.2,1018.74,1017.18,1017.35,1018.76,0.4,3,12.1,73,7.44,2.225,1,1.82,2.575,1,2.0025,3.6,74.75,59,77.75,111,59,86.5,120,3.6,80,0.75,0.61,1.7125,0
2020-3-12 0:46,3000,3000,3000,3000,3000,3000,3350,3300,3400,3500,1205.5,3350,3400,6135.5,3370,3370.75,3370.75,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.4,3,12.2,73,7.54,1.875,1.375,2.0975,2.6,1,1.92,3.35,78.75,61.25,76.75,101.5,59,86,120,3.35,82.75,0,0.6725,1.9849999999999999,0
2020-3-12 0:47,3000,3000,3000,3000,3000,3000,3300,3300,3400,3500,1208.5,3300,3400,6117.75,3390.5,3391,3391,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.4,3,12.2,74,7.74,2.4,1.5,2.225,2.9,1,1.875,2.925,94.25,63.75,82.25,96.5,59,86.5,120,2.925,85.5,0,0.915,2.0275,0
2020-3-12 0:48,3000,3000,3000,3000,3000,3000,3450,3300,3400,3500,1230,3450,3400,6083.5,3559.75,3560,3560,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.4,3,12.2,74,7.74,2.075,1.3,2.2075,2.9,1,1.915,2.9,90.75,69.75,88,101.25,59,87,120,2.9,87,0,1.1025,1.91,0
2020-3-12 0:49,3000,3000,3000,3000,3000,3000,3500,3300,3400,3500,1229.5,3500,3400,6079.75,3543.25,3543.75,3543.75,100,0,1017,1018.54,1016.98,1017.15,1018.56,0.4,3,12.2,74,7.74,1.625,1.3,1.98,2.625,1,1.9124999999999999,2.9,72.25,65,87.25,102,59,85.75,115,2.9,87,0,0.9675,1.725,0
2020-3-12 0:50,3000,3000,3000,3000,3000,3000,3475,3300,3400,3500,1223,3475,3400,6070.25,3493.5,3493.75,3493.75,100,0,1017,1018.54,1016.98,1017.15,1018.56,0.4,3,12.2,71,7.14,1.975,1.375,1.9375,2.375,1,1.8975,2.9,90.25,63,81,104.5,59,84.25,115,2.9,87,0,0.755,1.78,0
2020-3-12 0:51,3000,3000,3000,3000,3000,3000,3450,3300,3400,3500,1225.5,3450,3400,6061.25,3511.5,3512,3512,100,0,1017,1018.54,1016.98,1017.15,1018.56,0.4,3,12.3,73,7.64,1.5,1.1,1.7575,2.3249999999999997,0.95,1.88,2.9,90.75,63.75,87,122.5,59,84.75,126.5,2.9,87,0,0.8475,1.5375,0
2020-3-12 0:52,3000,3000,3000,3000,3000,3000,3500,3300,3400,3500,1231.25,3500,3400,6050.25,3543.5,3544.25,3544.25,100,0,1017,1018.54,1016.98,1017.15,1018.56,0.4,3,12.3,72,7.44,1.975,0.9,1.7275,3,0.9,1.895,3,113.5,77.5,97.5,138,59,86,138,3,104,0,1.095,1.3325,0
2020-3-12 0:53,3000,3000,3000,3000,3000,3000,3500,3300,3400,3500,1236.5,3500,3400,6045.75,3581.75,3582.25,3582.25,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.4,3,12.4,71,7.33,1.625,1.05,1.825,3,0.9,1.9249999999999998,3,109.25,81,107.25,131.5,59,88.25,138,3,104,0,1.38,1.19,0
2020-3-12 0:54,3000,3000,3000,3000,3000,3000,3575,3300,3450,3575,1239.25,3575,3450,6026.75,3608.75,3609.5,3609.5,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.4,3,12.6,71,7.52,1.775,1.1,1.655,2.475,0.9,1.9249999999999998,3,85.75,83.25,104.75,124.75,61.25,89.75,138,3,104,0,1.2025,1.1325,0
2020-3-12 0:55,3000,3000,3000,3000,3000,3000,3525,3300,3500,3600,1238,3525,3500,6002,3585,3586,3586,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.21,3,12.8,71,7.72,1.975,1.1,1.7625,2.6,0.9,1.9075,3,91.75,82,91.5,113.25,62.25,91,138,3,104,0,0.97,1.47,0
2020-3-12 0:56,3000,3000,3000,3000,3000,3000,3575,3300,3500,3600,1240.5,3575,3500,6028.25,3610.75,3611.25,3611.25,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.21,3,12.8,70,7.51,1.625,1.325,1.9075,2.5,0.9,1.8875,3,106,82,95.5,121,63,93.25,138,3,104,0,1.1575,1.5150000000000001,0
2020-3-12 0:57,3000,3000,3000,3000,3000,3000,3600,3375,3500,3600,1238,3600,3500,6091.25,3626.5,3627.25,3627.25,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.21,3,12.8,69,7.3,1.5,1.175,1.73,2.15,0.9,1.8125,3,92.25,82.25,100.75,121,63,95,138,3,104,0,1.1749999999999998,1.2725,0
2020-3-12 0:58,3000,3000,3000,3000,3000,3000,3600,3400,3500,3600,1240.5,3600,3500,6056.25,3649,3649.5,3649.5,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.21,3,12.7,69,7.2,1.525,0.9,1.5625,2,0.9,1.7575,3,82.75,75,92.75,108.75,63,94.25,138,3,104,0,0.89,1.28,0
2020-3-12 0:59,3000,3000,3000,3000,3000,3000,3600,3400,3500,3600,1243.25,3600,3500,6051.5,3633.75,3634,3634,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.21,3,12.8,68,7.09,1.425,0.9500000000000001,1.5375,2,0.9,1.7225,3,86.5,70,86.25,108.5,63.75,94.5,138,3,104,0,0.73,1.3525,0
2020-3-12 1:00,3000,3000,3000,3000,3000,3000,3600,3400,3500,3600,1239.25,3600,3500,6097.75,3636.5,3636.75,3636.75,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.21,3,12.7,67,6.78,1.6749999999999998,0.8,1.4875,2.375,0.8,1.6675,3,108,67,88.25,118,67,95.75,138,3,104,0,0.75,1.28,0
2020-3-12 1:01,3000,3000,3000,3000,3000,3000,3650,3500,3600,3675,1247,3650,3600,6153.25,3727.25,3727.25,3727.25,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.21,3,12.8,68,7.09,1.575,0.8,1.5225,2.5,0.8,1.6724999999999999,3,89.25,69.25,95.5,128,67,96.25,133,3,104,0,0.9275,1.2075,0
2020-3-12 1:02,3000,3000,3000,3000,3000,3000,3675,3500,3600,3700,1239.25,3675,3600,6196.25,3684.75,3685.25,3685.25,100,0,1017.1,1018.64,1017.08,1017.25,1018.66,0.21,3,13,70,7.7,1.6500000000000001,1.125,1.615,2.25,0.8,1.6424999999999998,2.6,83,70,93.25,123,67,95,128,2.6,90,0,0.9275,1.315,0
2020-3-12 1:03,3000,3000,3000,3000,3000,3000,3600,3500,3600,3700,1238,3600,3600,6208.75,3679.75,3680.25,3680.25,100,0,1017.2,1018.74,1017.18,1017.35,1018.76,0.21,3,13,67,7.07,2.475,1,1.8175,2.65,0.8,1.6749999999999998,2.7,88,70,88,106,67,92.25,128,2.7,86.25,0,0.9075,1.5725,0
2020-3-12 1:04,3000,3000,3000,3000,3000,3000,3675,3500,3600,3700,1241.75,3675,3600,6284.25,3753.75,3754.75,3754.75,100,0,1017.2,1018.74,1017.18,1017.35,1018.75,0.21,3,13.1,68,7.38,2.125,1.125,2.205,2.8,0.8,1.7525,2.8,97,73.5,90.25,104.75,67,92,128,2.8,98,0,1.1775,1.865,0
2020-3-12 1:05,3000,3000,3000,3000,3000,3000,3675,3500,3600,3700,1230.75,3675,3600,6381.75,3693.25,3694,3694,100,0,1017.1,1018.64,1017.08,1017.25,1018.65,0.21,3,13,68,7.28,1.925,1.5,2.1025,2.8,0.8,1.745,2.8,104.75,83,97,112.75,67,93.5,128,2.8,98,0,1.3175000000000001,1.6375,0
2020-3-12 1:06,3000,3000,3000,3000,3000,3000,3625,3500,3600,3700,1225.5,3625,3600,6456.25,3709.75,3710,3710,100,0,1017.2,1018.74,1017.18,1017.35,1018.75,0.21,3,12.9,66,6.75,1.575,1.375,1.795,2.2,0.8,1.73,2.8,89.75,86,99.5,115,67,92.75,128,2.8,98,0,1.185,1.345,0
2020-3-12 1:07,3000,3000,3000,3000,3000,3000,3700,3600,3600,3700,1221.5,3700,3600,6549.75,3700.75,3701.25,3701.25,100,0,1017.2,1018.74,1017.18,1017.35,1018.75,0.21,3,12.9,67,6.97,1.75,1.2,1.6575,2.075,0.8,1.7275,2.8,90.75,70.25,91.5,113,67,91.75,128,2.8,98,0,0.915,1.3775,0
2020-3-12 1:08,3000,3000,3000,3000,3000,3000,3700,3600,3600,3700,1220,3700,3600,6672.75,3745,3745.5,3745.5,100,0,1017.2,1018.74,1017.18,1017.35,1018.75,0.21,3,12.9,67,6.97,1.875,1.2,1.7325,2.475,0.8,1.7650000000000001,2.8,99.75,70,92.75,118,67,92.75,128,2.8,98,0,0.9875,1.4249999999999998,0
2020-3-12 1:09,3000,3000,3000,3000,3000,3000,3725,3600,3700,3775,1224.75,3725,3700,6697.75,3821.5,3822,3822,100,0,1017.1,1018.64,1017.08,1017.25,1018.65,0.21,3,13,67,7.07,2.1,1.375,1.915,2.5,0.8,1.8025,2.8,89,77.75,97.25,117.5,67.75,94,128,2.8,98,0,1.2125,1.4825,0
2020-3-12 1:10,3000,3000,3000,3000,3000,3000,3775,3600,3700,3800,1218.75,3775,3700,6810,3798.25,3798.75,3798.75,100,0,1017.1,1018.64,1017.08,1017.25,1018.65,0.21,3,13.1,67,7.16,1.8,1.475,1.97,2.425,1,1.8625,2.8,87.5,75.75,91.75,112,70,93.5,125.5,2.8,98,0,1.0925,1.6375,0
